1;-1;0;A;01;[0,3,0,0,0]
2;-1;0;A;01;[0,0,0,2,1]
3;-1;0;A;01;[0,1,1,1,1]
4;-1;0;A;01;[0,2,0,0,2]
5;-1;0;A;10;[0,0,4,0,0]
6;-1;0;A;01;[0,1,2,1,1]
7;-1;0;A;01;[0,2,2,0,1]
8;-1;0;A;01;[3,1,0,0,1]
9;-1;0;B;01;[1,0,0,0,2]
10;-1;0;B;01;[0,0,0,0,3]
11;-1;0;B;01;[1,0,1,1,1]
12;-1;0;B;01;[0,0,2,0,2]
13;-1;0;B;10;[0,0,0,4,0]
14;-1;0;B;01;[1,0,1,2,1]
15;-1;0;B;01;[1,0,2,2,0]
16;-1;0;B;01;[0,1,3,1,0]
17;-1;0;C;01;[2,1,0,0,0]
18;-1;0;C;01;[0,0,0,3,0]
19;-1;0;C;01;[1,1,0,1,1]
20;-1;0;C;01;[0,2,0,2,0]
21;-1;0;C;10;[0,0,0,0,4]
22;-1;0;C;01;[1,1,0,1,2]
23;-1;0;C;01;[0,1,0,2,2]
24;-1;0;C;01;[1,3,1,0,0]
25;-1;0;D;01;[0,2,1,0,0]
26;-1;0;D;01;[3,0,0,0,0]
27;-1;0;D;01;[1,1,1,0,1]
28;-1;0;D;01;[2,0,0,2,0]
29;-1;0;D;10;[4,0,0,0,0]
30;-1;0;D;01;[2,1,1,0,1]
31;-1;0;D;01;[2,0,1,0,2]
32;-1;0;D;01;[1,0,0,1,3]
33;-1;0;E;01;[0,0,2,1,0]
34;-1;0;E;01;[0,0,3,0,0]
35;-1;0;E;01;[1,1,1,1,0]
36;-1;0;E;01;[2,0,2,0,0]
37;-1;0;E;10;[0,4,0,0,0]
38;-1;0;E;01;[1,2,1,1,0]
39;-1;0;E;01;[2,2,0,1,0]
40;-1;0;E;01;[0,0,1,3,1]
41;-1;1;A;20;[0,0,0,5,0]
42;-1;1;A;30;[6,0,0,0,0]
43;-1;1;A;10;[0,0,3,2,2]
44;-1;1;A;20;[0,0,1,4,2]
45;-1;1;A;10;[2,3,0,3,0]
46;-1;1;A;20;[0,0,0,5,3]
47;-1;1;B;20;[0,5,0,0,0]
48;-1;1;B;30;[0,6,0,0,0]
49;-1;1;B;10;[0,2,2,3,0]
50;-1;1;B;20;[2,0,0,1,4]
51;-1;1;B;20;[0,2,3,0,3]
52;-1;1;B;20;[5,3,0,0,0]
53;-1;1;C;20;[0,0,5,0,0]
54;-1;1;C;30;[0,0,6,0,0]
55;-1;1;C;10;[2,3,0,0,2]
56;-1;1;C;10;[3,0,2,3,0]
57;-1;1;C;20;[4,2,0,0,1]
58;-1;1;C;20;[0,5,3,0,0]
59;-1;1;D;20;[5,0,0,0,0]
60;-1;1;D;30;[0,0,0,6,0]
61;-1;1;D;10;[2,0,0,2,3]
62;-1;1;D;20;[1,4,2,0,0]
63;-1;1;D;10;[0,3,0,2,3]
64;-1;1;D;20;[3,0,0,0,5]
65;-1;1;E;20;[0,0,0,0,5]
66;-1;1;E;30;[0,0,0,0,6]
67;-1;1;E;10;[3,2,2,0,0]
68;-1;1;E;20;[0,1,4,2,0]
69;-1;1;E;10;[3,0,3,0,2]
70;-1;1;E;20;[0,0,5,3,0]
71;-1;2;A;40;[0,0,0,0,7]
72;-1;2;A;50;[3,0,0,0,7]
73;-1;2;A;40;[3,0,0,3,6]
74;-1;2;A;30;[0,3,3,5,3]
75;-1;2;B;40;[7,0,0,0,0]
76;-1;2;B;50;[7,3,0,0,0]
77;-1;2;B;40;[6,3,0,0,3]
78;-1;2;B;30;[3,0,3,3,5]
79;-1;2;C;40;[0,7,0,0,0]
80;-1;2;C;50;[0,7,3,0,0]
81;-1;2;C;40;[3,6,3,0,0]
82;-1;2;C;30;[5,3,0,3,3]
83;-1;2;D;40;[0,0,7,0,0]
84;-1;2;D;50;[0,0,7,3,0]
85;-1;2;D;40;[0,3,6,3,0]
86;-1;2;D;30;[3,5,3,0,3]
87;-1;2;E;40;[0,0,0,7,0]
88;-1;2;E;50;[0,0,0,7,3]
89;-1;2;E;40;[0,0,3,6,3]
90;-1;2;E;30;[3,3,5,3,0]
